u,v,dist,ux,uy,vx,vy
1_00031,1_00077,2154.0659228538016,3644696.648174009,-2652282.724113807,3642696.648174009,-2653082.724113807
1_00032,1_00049,2126.02916254693,3644496.648174009,-2677282.724113807,3643096.648174009,-2675682.724113807
1_00032,1_00086,2126.02916254693,3644496.648174009,-2677282.724113807,3642896.648174009,-2678682.724113807
1_00033,1_00063,2154.0659228538016,3672996.648225992,-2656882.724113807,3674996.648225992,-2656082.724113807
1_00033,1_00070,3000.0,3672996.648225992,-2656882.724113807,3672996.648225992,-2659882.724113807
1_00033,1_00087,2126.02916254693,3672996.648225992,-2656882.724113807,3674596.648225992,-2658282.724113807
1_00033,1_00108,2126.02916254693,3672996.648225992,-2656882.724113807,3671596.648225992,-2655282.724113807
1_00034,1_00093,2200.0,3671796.648225992,-2669482.724113807,3671796.648225992,-2671682.724113807
1_00034,1_00111,2236.06797749979,3671796.648225992,-2669482.724113807,3671396.648225992,-2667282.724113807
1_00036,1_00046,2126.02916254693,3643096.648174009,-2656082.724113807,3644496.648174009,-2654482.724113807
1_00036,1_00055,2154.0659228538016,3643096.648174009,-2656082.724113807,3645096.648174009,-2656882.724113807
1_00036,1_00067,2126.02916254693,3643096.648174009,-2656082.724113807,3641496.648174009,-2657482.724113807
1_00036,1_00094,2280.350850198276,3643096.648174009,-2656082.724113807,3641296.648174009,-2654682.724113807
1_00036,1_00105,2236.06797749979,3643096.648174009,-2656082.724113807,3643496.648174009,-2658282.724113807
1_00037,1_00046,2607.6809620810595,3646696.648174009,-2653082.724113807,3644496.648174009,-2654482.724113807
1_00037,1_00100,2209.072203437452,3646696.648174009,-2653082.724113807,3646496.648174009,-2655282.724113807
1_00038,1_00093,2200.0,3671796.648225992,-2673882.724113807,3671796.648225992,-2671682.724113807
1_00038,1_00103,2200.0,3671796.648225992,-2673882.724113807,3671796.648225992,-2676082.724113807
1_00039,1_00099,2200.0,3680196.648225992,-2675882.724113807,3680196.648225992,-2673682.724113807
1_00039,1_00104,2200.0,3680196.648225992,-2675882.724113807,3680196.648225992,-2678082.724113807
1_00040,1_00066,2262.741699796952,3674996.648225992,-2675682.724113807,3676596.648225992,-2674082.724113807
1_00041,1_00044,2154.0659228538016,3652296.648174009,-2686082.724113807,3653096.648174009,-2688082.724113807
1_00041,1_00056,2200.0,3652296.648174009,-2686082.724113807,3654496.648174009,-2686082.724113807
1_00041,1_00088,2200.0,3652296.648174009,-2686082.724113807,3650096.648174009,-2686082.724113807
1_00042,1_00097,2209.072203437452,3678596.648225992,-2658282.724113807,3678396.648225992,-2656082.724113807
1_00043,1_00102,2200.0,3646296.648174009,-2671682.724113807,3646296.648174009,-2669482.724113807
1_00043,1_00106,2200.0,3646296.648174009,-2671682.724113807,3646296.648174009,-2673882.724113807
1_00044,1_00056,2441.3111231467406,3653096.648174009,-2688082.724113807,3654496.648174009,-2686082.724113807
1_00044,1_00107,2200.0,3653096.648174009,-2688082.724113807,3653096.648174009,-2690282.724113807
1_00045,1_00069,2973.213749463701,3677396.648225992,-2670482.724113807,3680196.648225992,-2671482.724113807
1_00045,1_00074,2126.02916254693,3677396.648225992,-2670482.724113807,3675996.648225992,-2668882.724113807
1_00045,1_00109,2154.0659228538016,3677396.648225992,-2670482.724113807,3678196.648225992,-2672482.724113807
1_00046,1_00055,2473.8633753705963,3644496.648174009,-2654482.724113807,3645096.648174009,-2656882.724113807
1_00046,1_00077,2280.350850198276,3644496.648174009,-2654482.724113807,3642696.648174009,-2653082.724113807
1_00046,1_00100,2154.0659228538016,3644496.648174009,-2654482.724113807,3646496.648174009,-2655282.724113807
1_00047,1_00092,2441.3111231467406,3680196.648225992,-2680282.724113807,3678196.648225992,-2681682.724113807
1_00047,1_00104,2200.0,3680196.648225992,-2680282.724113807,3680196.648225992,-2678082.724113807
1_00047,1_00112,2200.0,3680196.648225992,-2680282.724113807,3680196.648225992,-2682482.724113807
1_00048,1_00084,2200.0,3671796.648225992,-2682282.724113807,3671796.648225992,-2684482.724113807
1_00050,1_00106,2200.0,3646296.648174009,-2676082.724113807,3646296.648174009,-2673882.724113807
1_00051,1_00080,2163.3307652783938,3639296.648174009,-2661082.724113807,3641096.648174009,-2659882.724113807
1_00052,1_00110,2332.38075793812,3637896.648174009,-2673682.724113807,3639896.648174009,-2672482.724113807
1_00054,1_00085,2126.02916254693,3676796.648225992,-2680082.724113807,3675196.648225992,-2678682.724113807
1_00054,1_00092,2126.02916254693,3676796.648225992,-2680082.724113807,3678196.648225992,-2681682.724113807
1_00055,1_00096,2262.741699796952,3645096.648174009,-2656882.724113807,3646696.648174009,-2658482.724113807
1_00055,1_00100,2126.02916254693,3645096.648174009,-2656882.724113807,3646496.648174009,-2655282.724113807
1_00055,1_00105,2126.02916254693,3645096.648174009,-2656882.724113807,3643496.648174009,-2658282.724113807
1_00056,1_00098,2200.0,3654496.648174009,-2686082.724113807,3656696.648174009,-2686082.724113807
1_00058,1_00090,2163.3307652783938,3672996.648225992,-2665882.724113807,3671796.648225992,-2664082.724113807
1_00058,1_00101,2126.02916254693,3672996.648225992,-2665882.724113807,3674396.648225992,-2667482.724113807
1_00058,1_00111,2126.02916254693,3672996.648225992,-2665882.724113807,3671396.648225992,-2667282.724113807
1_00059,1_00103,2607.6809620810595,3671996.648225992,-2678682.724113807,3671796.648225992,-2676082.724113807
1_00062,1_00067,2154.0659228538016,3639496.648174009,-2658282.724113807,3641496.648174009,-2657482.724113807
1_00062,1_00089,2209.072203437452,3639496.648174009,-2658282.724113807,3639696.648174009,-2656082.724113807
1_00063,1_00087,2236.06797749979,3674996.648225992,-2656082.724113807,3674596.648225992,-2658282.724113807
1_00064,1_00065,2236.06797749979,3646296.648174009,-2684482.724113807,3645296.648174009,-2686482.724113807
1_00066,1_00109,2262.741699796952,3676596.648225992,-2674082.724113807,3678196.648225992,-2672482.724113807
1_00067,1_00089,2280.350850198276,3641496.648174009,-2657482.724113807,3639696.648174009,-2656082.724113807
1_00067,1_00094,2807.13376952364,3641496.648174009,-2657482.724113807,3641296.648174009,-2654682.724113807
1_00068,1_00095,2154.0659228538016,3637896.648174009,-2682482.724113807,3639896.648174009,-2681682.724113807
1_00069,1_00099,2200.0,3680196.648225992,-2671482.724113807,3680196.648225992,-2673682.724113807
1_00069,1_00109,2236.06797749979,3680196.648225992,-2671482.724113807,3678196.648225992,-2672482.724113807
