seat_id,floor,zone,x,y,node
2E1_025,2,E1,3691154.90947804,-2656689.929189617,2E1_4
2E1_026,2,E1,3690447.495874158,-2656691.717305789,2E1_4
2E1_027,2,E1,3689740.0822702767,-2656693.5054219607,2E1_4
2E1_028,2,E1,3689032.6686663954,-2656695.2935381327,2E1_4
2E1_029,2,E1,3688325.255062514,-2656697.0816543046,2E1_4
2E1_030,2,E1,3687617.841458632,-2656698.8697704766,2E1_4
2E1_031,2,E1,3686910.427854751,-2656700.657886649,2E1_3
2E1_032,2,E1,3686203.014250869,-2656702.4460028205,2E1_3
2E1_033,2,E1,3685495.600646988,-2656704.234118992,2E1_3
2E1_034,2,E1,3684788.187043106,-2656706.022235164,2E1_3
2E1_035,2,E1,3684080.773439225,-2656707.810351336,2E1_3
2E1_036,2,E1,3683373.359835344,-2656709.598467508,2E1_3
2E1_037,2,E1,3690445.842132562,-2656037.464902574,2E1_4
2E1_038,2,E1,3689738.428528681,-2656039.253018746,2E1_4
2E1_039,2,E1,3689031.014924799,-2656041.041134918,2E1_4
2E1_040,2,E1,3688323.6013209177,-2656042.82925109,2E1_4
2E1_041,2,E1,3687616.187717036,-2656044.617367262,2E1_4
2E1_042,2,E1,3686908.7741131545,-2656046.405483434,2E1_2
2E1_043,2,E1,3686201.360509273,-2656048.193599606,2E1_3
2E1_044,2,E1,3685493.946905392,-2656049.9817157774,2E1_3
2E1_045,2,E1,3684786.5333015104,-2656051.7698319494,2E1_3
2E1_046,2,E1,3684079.119697629,-2656053.5579481213,2E1_3
2E1_047,2,E1,3683371.706093748,-2656055.3460642933,2E1_3
2E1_048,2,E1,3690444.188390965,-2655383.21249936,2E1_2
2E1_049,2,E1,3689736.774787084,-2655385.000615532,2E1_2
2E1_050,2,E1,3689029.3611832014,-2655386.788731704,2E1_2
2E1_051,2,E1,3688321.947579321,-2655388.576847876,2E1_2
2E1_052,2,E1,3687614.533975439,-2655390.364964048,2E1_2
2E1_053,2,E1,3686907.120371558,-2655392.15308022,2E1_2
2E1_054,2,E1,3686199.706767677,-2655393.941196392,2E1_1
2E1_055,2,E1,3685492.293163795,-2655395.729312564,2E1_1
2E1_056,2,E1,3684784.8795599137,-2655397.5174287357,2E1_1
2E1_057,2,E1,3684077.465956032,-2655399.305544907,2E1_1
2E1_058,2,E1,3683370.052352151,-2655401.093661079,2E1_1
2E1_059,2,E1,3690442.534649369,-2654728.960096145,2E1_2
2E1_060,2,E1,3689735.121045488,-2654730.748212317,2E1_2
2E1_061,2,E1,3689027.707441606,-2654732.5363284894,2E1_2
2E1_062,2,E1,3688320.2938377247,-2654734.3244446614,2E1_2
2E1_063,2,E1,3687612.880233843,-2654736.1125608333,2E1_2
2E1_064,2,E1,3686905.4666299615,-2654737.9006770053,2E1_1
2E1_065,2,E1,3686198.05302608,-2654739.6887931773,2E1_1
2E1_066,2,E1,3685490.639422199,-2654741.4769093487,2E1_1
2E1_067,2,E1,3684783.225818317,-2654743.2650255207,2E1_1
2E1_068,2,E1,3684075.812214436,-2654745.0531416927,2E1_1
2E1_069,2,E1,3683368.398610554,-2654746.8412578646,2E1_1
2E1_070,2,E1,3690440.880907772,-2654074.7076929314,2E1_2
2E1_071,2,E1,3689733.4673038903,-2654076.495809104,2E1_2
2E1_072,2,E1,3689026.05370001,-2654078.283925276,2E1_2
2E1_073,2,E1,3688318.640096128,-2654080.0720414477,2E1_2
2E1_074,2,E1,3687611.226492246,-2654081.860157619,2E1_2
2E1_075,2,E1,3686903.812888365,-2654083.648273791,2E1_1
2E1_076,2,E1,3686196.3992844834,-2654085.436389963,2E1_1
2E1_077,2,E1,3685488.985680602,-2654087.224506134,2E1_1
2E1_078,2,E1,3684781.5720767207,-2654089.0126223066,2E1_1
2E1_079,2,E1,3684074.158472839,-2654090.8007384785,2E1_1
2E1_080,2,E1,3683366.744868958,-2654092.5888546505,2E1_1
2E1_081,2,E1,3689731.813562294,-2653422.2434058893,2E1_2
2E1_082,2,E1,3689024.3999584126,-2653424.031522061,2E1_2
2E1_083,2,E1,3688316.9863545313,-2653425.819638233,2E1_2
2E1_084,2,E1,3687609.5727506494,-2653427.607754405,2E1_2
2E1_085,2,E1,3686902.159146768,-2653429.395870577,2E1_1
2E1_086,2,E1,3686194.745542887,-2653431.183986749,2E1_1
2E1_087,2,E1,3685487.331939005,-2653432.9721029205,2E1_1
2E1_088,2,E1,3684779.918335124,-2653434.7602190925,2E1_1
2E1_089,2,E1,3684072.504731242,-2653436.5483352644,2E1_1
2E1_090,2,E1,3683365.091127361,-2653438.3364514364,2E1_1
2E1_091,2,E1,3689730.1598206977,-2652767.991002675,2E1_2
2E1_092,2,E1,3689022.746216816,-2652769.779118847,2E1_2
2A2_001,2,A2,3625940.9720596736,-2665782.6657378874,2A2_3
2A2_002,2,A2,3626692.90983208,-2665781.616502906,2A2_3
2A2_003,2,A2,3627444.847604488,-2665780.567267925,2A2_3
