node_id,floor,x,y,capacity
exit5,2,3637346.597244247,-2689594.915579802,3.7034957840202236
exit6,2,3680746.70170807,-2689594.915579809,3.7035054293771585
exit4,1,3679317.2265570685,-2658934.6970350835,4.851851851813284
exit1,1,3638776.0697909095,-2658934.6970351418,4.851851851859017
exit2,0,3646969.4663491007,-2685186.506334098,5.592592592597063
exit3,0,3671123.83654504,-2685186.5063341493,5.592592592598282
exit7,2,3637437.7215071796,-2647789.918488905,7.929939815638311
exit8,2,3680655.569097504,-2647789.917419273,7.929922505625938
