aisle_id,x,y,floor,layer_name,capacity
0_00000,3647896.395613305,-2678304.918284757,0,0_floor_aisle,30.317196917664038
0_00001,3670196.900786695,-2684304.918284757,0,0_floor_aisle,25.93445760746261
0_00002,3670196.900786695,-2675304.918284757,0,0_floor_aisle,17.537732231232784
0_00003,3647896.395613305,-2669304.918284757,0,0_floor_aisle,29.518894246643924
0_00004,3647896.395613305,-2660304.918284757,0,0_floor_aisle,25.928901192167828
0_00005,3647896.395613305,-2651304.918284757,0,0_floor_aisle,25.92875017974746
0_00006,3670196.900786695,-2666304.918284757,0,0_floor_aisle,25.93469143850195
0_00007,3670196.900786695,-2657304.918284757,0,0_floor_aisle,25.93492526954129
0_00008,3647896.395613305,-2681304.918284757,0,0_floor_aisle,25.92875017974746
0_00009,3647896.395613305,-2672304.918284757,0,0_floor_aisle,25.93515910058063
0_00010,3647896.395613305,-2663304.918284757,0,0_floor_aisle,25.923516131001378
0_00011,3647896.395613305,-2654304.918284757,0,0_floor_aisle,25.93539293161518
0_00012,3670196.900786695,-2669304.918284757,0,0_floor_aisle,25.935626762654525
0_00013,3670196.900786695,-2678304.918284757,0,0_floor_aisle,25.92875017974746
0_00014,3670196.900786695,-2660304.918284757,0,0_floor_aisle,25.935860593693857
0_00015,3650896.395613305,-2684904.918284757,0,0_floor_aisle,25.936094424733202
0_00016,3670196.900786695,-2651304.918284757,0,0_floor_aisle,25.92875017974746
0_00017,3647896.395613305,-2684304.918284757,0,0_floor_aisle,25.93632825576775
0_00018,3647896.395613305,-2675304.918284757,0,0_floor_aisle,19.020077359698874
0_00019,3647896.395613305,-2666304.918284757,0,0_floor_aisle,25.92875017974746
0_00020,3647896.395613305,-2657304.918284757,0,0_floor_aisle,17.537704946850397
0_00021,3670196.900786695,-2681304.918284757,0,0_floor_aisle,25.92875017974746
0_00022,3670196.900786695,-2672304.918284757,0,0_floor_aisle,25.92875017974746
0_00023,3670196.900786695,-2663304.918284757,0,0_floor_aisle,25.92875017974746
0_00024,3670196.900786695,-2654304.918284757,0,0_floor_aisle,25.92875017974746
0_00025,3667196.900786695,-2684904.918284757,0,0_floor_aisle,19.014366543424284
1_00000,3637896.648174009,-2675882.724113807,1,1_floor_aisle,11.41797426708411
1_00001,3680196.648225992,-2664882.724113807,1,1_floor_aisle,8.766572854108652
1_00002,3676996.648225992,-2659882.724113807,1,1_floor_aisle,7.93324120843699
1_00003,3673596.648225992,-2677282.724113807,1,1_floor_aisle,4.899440805303235
1_00004,3646096.648174009,-2678682.724113807,1,1_floor_aisle,7.7599283804140615
1_00005,3675396.648225992,-2653082.724113807,1,1_floor_aisle,10.54679801022605
1_00006,3646296.648174009,-2682282.724113807,1,1_floor_aisle,8.167037628319774
1_00007,3676596.648225992,-2657482.724113807,1,1_floor_aisle,8.71239303971221
1_00008,3663596.648225992,-2686082.724113807,1,1_floor_aisle,10.654604799734184
1_00009,3647896.648174009,-2685882.724113807,1,1_floor_aisle,8.463423631839346
1_00010,3642096.648174009,-2668882.724113807,1,1_floor_aisle,10.336599090847919
1_00011,3637896.648174009,-2680282.724113807,1,1_floor_aisle,9.412900824120447
1_00012,3680196.648225992,-2669282.724113807,1,1_floor_aisle,11.316497121034681
1_00013,3672796.648225992,-2686482.724113807,1,1_floor_aisle,9.807434842815878
1_00014,3645096.648174009,-2659882.724113807,1,1_floor_aisle,7.710827924813822
1_00015,3637896.648174009,-2662682.724113807,1,1_floor_aisle,8.80830182067814
1_00016,3676796.648225992,-2654682.724113807,1,1_floor_aisle,8.466074459300303
1_00017,3641496.648174009,-2674082.724113807,1,1_floor_aisle,7.100278867811391
1_00018,3646096.648174009,-2661882.724113807,1,1_floor_aisle,7.899770411188483
1_00019,3671396.648225992,-2658482.724113807,1,1_floor_aisle,7.302649547163539
1_00020,3678796.648225992,-2661082.724113807,1,1_floor_aisle,6.913076424717927
1_00021,3665796.648225992,-2686082.724113807,1,1_floor_aisle,10.717869560247703
1_00022,3664996.648225992,-2688082.724113807,1,1_floor_aisle,8.443317473764704
1_00023,3637896.648174009,-2667082.724113807,1,1_floor_aisle,8.019252332899178
1_00024,3674196.648225992,-2688082.724113807,1,1_floor_aisle,9.02822982670542
1_00025,3643896.648174009,-2688082.724113807,1,1_floor_aisle,14.655294867775979
1_00026,3673596.648225992,-2654482.724113807,1,1_floor_aisle,8.969148368086321
1_00027,3637896.648174009,-2671482.724113807,1,1_floor_aisle,9.172748932851144
1_00028,3641296.648174009,-2680082.724113807,1,1_floor_aisle,15.176092110981457
1_00029,3667996.648225992,-2686082.724113807,1,1_floor_aisle,7.978881703922758
1_00030,3670196.648225992,-2685882.724113807,1,1_floor_aisle,9.625208699788008
1_00031,3644696.648174009,-2652282.724113807,1,1_floor_aisle,7.542907061254997
1_00032,3644496.648174009,-2677282.724113807,1,1_floor_aisle,11.718279281501303
1_00033,3672996.648225992,-2656882.724113807,1,1_floor_aisle,7.543533952417871
1_00034,3671796.648225992,-2669482.724113807,1,1_floor_aisle,21.495547971617647
1_00035,3672996.648225992,-2650082.724113807,1,1_floor_aisle,15.813553925649416
1_00036,3643096.648174009,-2656082.724113807,1,1_floor_aisle,11.989645925184755
1_00037,3646696.648174009,-2653082.724113807,1,1_floor_aisle,15.687192025303329
1_00038,3671796.648225992,-2673882.724113807,1,1_floor_aisle,11.060301622032933
1_00039,3680196.648225992,-2675882.724113807,1,1_floor_aisle,5.592856742688511
1_00040,3674996.648225992,-2675682.724113807,1,1_floor_aisle,13.079062309349782
1_00041,3652296.648174009,-2686082.724113807,1,1_floor_aisle,10.691966991982152
1_00042,3678596.648225992,-2658282.724113807,1,1_floor_aisle,10.021284029971104
1_00043,3646296.648174009,-2671682.724113807,1,1_floor_aisle,12.236135382071696
1_00044,3653096.648174009,-2688082.724113807,1,1_floor_aisle,13.45113755643875
1_00045,3677396.648225992,-2670482.724113807,1,1_floor_aisle,11.612610615489213
1_00046,3644496.648174009,-2654482.724113807,1,1_floor_aisle,13.976283429668355
1_00047,3680196.648225992,-2680282.724113807,1,1_floor_aisle,14.423453838033364
1_00048,3671796.648225992,-2682282.724113807,1,1_floor_aisle,11.152155520468236
1_00049,3643096.648174009,-2675682.724113807,1,1_floor_aisle,11.152178740416458
1_00050,3646296.648174009,-2676082.724113807,1,1_floor_aisle,6.429932092246575
1_00051,3639296.648174009,-2661082.724113807,1,1_floor_aisle,5.230901519525812
1_00052,3637896.648174009,-2673682.724113807,1,1_floor_aisle,7.481807839737711
1_00053,3680196.648225992,-2662682.724113807,1,1_floor_aisle,4.126417815952379
1_00054,3676796.648225992,-2680082.724113807,1,1_floor_aisle,5.884129647094068
1_00055,3645096.648174009,-2656882.724113807,1,1_floor_aisle,9.334511988690442
1_00056,3654496.648174009,-2686082.724113807,1,1_floor_aisle,13.976284047714078
1_00057,3645096.648174009,-2650082.724113807,1,1_floor_aisle,4.267845949330485
1_00058,3672996.648225992,-2665882.724113807,1,1_floor_aisle,10.691981948793408
1_00059,3671996.648225992,-2678682.724113807,1,1_floor_aisle,4.267845949330485
1_00060,3637896.648174009,-2678082.724113807,1,1_floor_aisle,4.408542954120299
1_00061,3680196.648225992,-2667082.724113807,1,1_floor_aisle,8.572710049587291
1_00062,3639496.648174009,-2658282.724113807,1,1_floor_aisle,7.542956449653331
1_00063,3674996.648225992,-2656082.724113807,1,1_floor_aisle,5.578489469318149
1_00064,3646296.648174009,-2684482.724113807,1,1_floor_aisle,5.884128581935591
1_00065,3645296.648174009,-2686482.724113807,1,1_floor_aisle,13.079112377300424
1_00066,3676596.648225992,-2674082.724113807,1,1_floor_aisle,5.1942517120057214
1_00067,3641496.648174009,-2657482.724113807,1,1_floor_aisle,10.021317477481675
1_00068,3637896.648174009,-2682482.724113807,1,1_floor_aisle,4.126417815952379
1_00069,3680196.648225992,-2671482.724113807,1,1_floor_aisle,8.49661915676584
1_00070,3672996.648225992,-2659882.724113807,1,1_floor_aisle,6.3851483682133905
1_00071,3671996.648225992,-2661882.724113807,1,1_floor_aisle,14.423445873841853
