node,x,y,floor,zone,index,node_count
2C31_1,3667572.5109813423,-2693574.534328888,2,C31,1,23
2C31_2,3672214.5110880607,-2693574.534328888,2,C31,2,23
2C31_3,3667572.5109813423,-2696719.693288726,2,C31,3,23
2C31_4,3672214.5110880607,-2696719.693288726,2,C31,4,23
2C32_1,3674781.70235717,-2691264.207186129,2,C32,1,12
2C32_2,3676713.458295672,-2694587.205914001,2,C32,2,12
2E1_1,3685386.066315739,-2653421.414896727,2,E1,1,23
2E1_2,3689726.454221233,-2653421.414896727,2,E1,2,23
2E1_3,3685386.066315739,-2656688.414896723,2,E1,3,23
2E1_4,3689726.454221233,-2656688.414896723,2,E1,4,23
2E2_1,3685625.9518428906,-2661221.418515494,2,E2,1,27
2E2_2,3690446.110802732,-2661221.418515494,2,E2,2,27
2E2_3,3685625.9518428906,-2664488.4189768527,2,E2,3,27
2E2_4,3690446.110802732,-2664488.4189768527,2,E2,4,27
2E3_1,3685625.951843104,-2669121.418283754,2,E3,1,27
2E3_2,3690446.110803201,-2669121.418283754,2,E3,2,27
2E3_3,3685625.951843104,-2672388.418283794,2,E3,3,27
2E3_4,3690446.110803201,-2672388.418283794,2,E3,4,27
2E4_1,3685386.0663157967,-2677246.417592729,2,E4,1,24
2E4_2,3689726.454221253,-2677246.417592729,2,E4,2,24
2E4_3,3685386.0663157967,-2681063.418054093,2,E4,3,24
2E4_4,3689726.454221253,-2681063.418054093,2,E4,4,24
